===========================================================================
📡 IPTV 酒店源测速报告 | 时间: 2026-07-05 03:56:34
===========================================================================
服务器 (IP:Port)             | 频道              | 速度           | 稳定性
221.232.199.81:7777       | 广东卫视            |   2.46 Mbps | 100%
60.16.0.36:5757           | 沈阳新闻            |   9.47 Mbps |  23%
60.16.0.36:5757           | CCTV5+体育赛事      |   9.32 Mbps |  24%
123.149.41.12:9901        | 新疆卫视            |    3.7 Mbps | 100%
123.149.41.12:9901        | 都市频道            |   3.02 Mbps | 100%
139.214.182.224:9901      | 内蒙古卫视           |   1.76 Mbps |   6%
101.66.195.209:9901       | CCTV9           |   4.69 Mbps |   0%
112.27.235.94:8000        | 重庆卫视            |   0.37 Mbps | 100%
112.27.235.94:8000        | CCTV5+          |   1.13 Mbps | 100%
221.232.196.19:7777       | CCTV14          |   2.87 Mbps | 100%
221.232.196.19:7777       | 深圳卫视            |   1.23 Mbps | 100%
1.24.39.180:808           | CCTV3综艺         |   9.16 Mbps |   0%
1.24.39.180:808           | 黑龙江卫视           |   9.19 Mbps |   0%
122.114.131.154:4018      | CCTV14          |   1.42 Mbps | 100%
122.114.131.154:4018      | 黑龙江卫视           |   0.75 Mbps | 100%
39.105.190.112:8009       | 贵州卫视            |   2.88 Mbps |  47%
39.105.190.112:8009       | CCTV3           |   2.34 Mbps |  63%
122.114.131.154:4103      | CCTV13新闻        |    1.5 Mbps | 100%
221.232.198.181:7777      | 湖北经视            |   1.62 Mbps | 100%
221.232.198.181:7777      | 广东卫视            |   1.59 Mbps | 100%
106.46.169.202:9000       | 重庆卫视            |   9.16 Mbps |   0%
106.46.169.202:9000       | 湖南卫视            |   9.81 Mbps |  81%
27.129.145.110:4433       | 江苏卫视            |   0.35 Mbps | 100%
61.185.200.57:9901        | CCTV9           |    2.4 Mbps |   5%
61.185.200.57:9901        | CCTV8           |   2.03 Mbps |   3%
39.164.138.145:8899       | CCTV5+          |    0.3 Mbps | 100%
39.164.138.145:8899       | CCTV8           |   0.26 Mbps | 100%
111.14.186.11:5009        | 东方卫视            |  13.36 Mbps |  71%
111.14.186.11:5009        | 山东生活            |  11.62 Mbps |  72%
221.232.198.116:7777      | 湖北经视            |   3.93 Mbps |   0%
221.232.198.116:7777      | CCTV2           |   5.91 Mbps |  96%
